fishID,half,prePost,largeMalePosition,fishName,round,treatment,transits,center,left_screen,left_side,plant,right_screen,right_side,latency_plant,latency_right_screen,latency_left_screen,trial_dur,center_prop,left screen_prop,left side_prop,plant_prop,right screen_prop,right side_prop,center_p,left screen_p,left side_p,plant_p,right screen_p,right side_p
fid24,p2,post,left,ariana,5,LS,23,6.804,121.726,25.217,4.768,129.728,7.214,265.884,0.023,138.56,295.457,0.023028732,0.41199227,0.085349137,0.016137712,0.439075737,0.024416413,0.023028732,0.41199227,0.085349137,0.016137712,0.439075737,0.024416413
fid24,p2,pre,right,ariana,5,LS,54,2.833,5.6855,11.6175,11.158,253.18,13.6625,7.798,10.8685,1.525,298.1365,0.009502359,0.019070124,0.03896705,0.03742581,0.849208332,0.045826325,0.009502359,0.019070124,0.03896705,0.03742581,0.849208332,0.045826325
fid24,p3,post,right,ariana,5,LS,31,6.671,251.883,25.012,1.329,6.275,7.21,0.917,5.358,28.501,298.38,0.022357397,0.84416851,0.083825994,0.004454052,0.02103023,0.024163818,0.022357397,0.84416851,0.083825994,0.004454052,0.02103023,0.024163818
fid24,p3,pre,left,ariana,5,LS,40,2.5345,107.947,22.0195,6.543,152.493,7.3065,161.8555,0.5735,156.2015,298.8435,0.008481028,0.36121582,0.073682379,0.021894403,0.510277118,0.024449252,0.008481028,0.36121582,0.073682379,0.021894403,0.510277118,0.024449252
fid38,p1,post,none,audrey,4,FF,34,11.121,44.048,24.862,19.485,183.173,14.274,0.788,28.853,10.934,296.963,0.03744911,0.148328243,0.083720868,0.065614235,0.616820951,0.048066594,0.03744911,0.148328243,0.083720868,0.065614235,0.616820951,0.048066594
fid38,p1,pre,none,audrey,4,FF,13,1.065,195.98,4.6695,30.6485,54.793,3.164,60.135,2.461,93.2515,290.32,0.003668366,0.675048223,0.016083976,0.105567994,0.188733122,0.010898319,0.003668366,0.675048223,0.016083976,0.105567994,0.188733122,0.010898319
fid38,p2,post,left,audrey,4,FF,1,0,0,0,0,299.66,0,300,0.058,300,299.66,0,0,0,0,1,0,0,0,0,0,1,0
fid38,p2,pre,right,audrey,4,FF,27,4.2765,5.2035,6.409,33.097,239.182,9.875,5.8855,9.8045,1.131,298.043,0.014348601,0.01745889,0.021503609,0.111047735,0.802508363,0.033132803,0.014348601,0.01745889,0.021503609,0.111047735,0.802508363,0.033132803
fid38,p3,post,right,audrey,4,FF,4,0.934,0,0.7665,0,295.389,1.5515,300,4.241,300,298.641,0.003127501,0,0.002566627,0,0.989110671,0.005195201,0.003127501,0,0.002566627,0,0.989110671,0.005195201
fid38,p3,pre,left,audrey,4,FF,3,0,0,0,0,294.0005,1.8035,300,1.0025,300,295.804,0,0,0,0,0.993903057,0.006096943,0,0,0,0,0.993903057,0.006096943
fid13,p1,post,none,ava,1,LL,76,22.578,79.105,50.15,39.361,61.934,45.217,10.44,2.075,20.049,298.345,0.075677487,0.265146056,0.168093985,0.131931154,0.207591882,0.151559436,0.075677487,0.265146056,0.168093985,0.131931154,0.207591882,0.151559436
fid13,p1,pre,none,ava,1,LL,76,24.9435,70.3025,35.903,5.72,120.152,40.1735,1.899,11.147,34.8645,297.1945,0.083929884,0.236553839,0.120806408,0.019246655,0.404287428,0.135175786,0.083929884,0.236553839,0.120806408,0.019246655,0.404287428,0.135175786
fid13,p2,post,right,ava,1,LL,69,35.505,94.212,54.959,8.008,58.455,46.717,59.996,3.673,14.207,297.856,0.119201896,0.316300494,0.184515336,0.026885475,0.196252552,0.156844247,0.119201896,0.316300494,0.184515336,0.026885475,0.196252552,0.156844247
fid13,p2,pre,left,ava,1,LL,93.5,24.176,47.011,34.5315,3.8725,142.256,46.929,64.634,0.776,32.381,298.776,0.080916807,0.157345302,0.115576552,0.012961215,0.476129274,0.157070849,0.080916807,0.157345302,0.115576552,0.012961215,0.476129274,0.157070849
fid13,p3,post,left,ava,1,LL,51,14.269,169.247,49.641,22.461,9.352,36.433,238.538,197.76,0.294,301.403,0.047341931,0.561530575,0.164699754,0.074521488,0.031028225,0.120878027,0.047341931,0.561530575,0.164699754,0.074521488,0.031028225,0.120878027
fid13,p3,pre,right,ava,1,LL,56,12.405,107.834,40.299,0.935,114.824,21.2895,218.645,4.0485,15.7575,297.5865,0.041685359,0.362361868,0.135419449,0.003141944,0.385850837,0.071540544,0.041685359,0.362361868,0.135419449,0.003141944,0.385850837,0.071540544
fid31,p1,post,none,bailey,1,LL,41,17.1975,49.5155,36.1795,68.067,81.9405,48.536,10.726,1.793,33.975,301.436,0.057051912,0.164265383,0.120023819,0.225809127,0.271833822,0.161015937,0.057051912,0.164265383,0.120023819,0.225809127,0.271833822,0.161015937
fid31,p1,pre,none,bailey,1,LL,63.5,31.354,78.099,39.5015,55.888,50.418,42.961,0.6735,70.065,52.7085,298.2215,0.105136618,0.261882527,0.132456915,0.187404329,0.169062257,0.144057353,0.105136618,0.261882527,0.132456915,0.187404329,0.169062257,0.144057353
fid31,p2,post,right,bailey,1,LL,37.5,24.574,19.7875,24.1575,0,186.171,45.0175,300,2.904,195.5955,299.7075,0.081993277,0.066022705,0.080603588,0,0.621175646,0.150204783,0.081993277,0.066022705,0.080603588,0,0.621175646,0.150204783
fid31,p2,pre,left,bailey,1,LL,30,6.7405,211.832,45.713,0.401,21.687,11.4125,192,76.6535,0.5425,297.786,0.022635382,0.711356477,0.153509567,0.001346605,0.072827467,0.038324501,0.022635382,0.711356477,0.153509567,0.001346605,0.072827467,0.038324501
fid31,p3,post,left,bailey,1,LL,18.5,7.0745,2.8015,5.874,0.2665,267.5705,9.679,253.7945,2.7695,201.7235,293.266,0.024123151,0.009552761,0.020029598,0.000908731,0.912381592,0.033004167,0.024123151,0.009552761,0.020029598,0.000908731,0.912381592,0.033004167
fid31,p3,pre,right,bailey,1,LL,54.5,46.1155,42.81,60.088,6.6065,89.4065,51.447,4.6945,14.349,1.3595,296.4735,0.155546786,0.144397391,0.202675787,0.022283611,0.301566582,0.173529843,0.155546786,0.144397391,0.202675787,0.022283611,0.301566582,0.173529843
fid33,p1,post,none,barbara,2,INT,23,8.009,252.005,16.013,0,16.419,6.668,300,15.301,4.888,299.114,0.026775744,0.842504864,0.053534773,0,0.054892115,0.022292504,0.026775744,0.842504864,0.053534773,0,0.054892115,0.022292504
fid33,p2,post,right,barbara,2,INT,15,2.569,275.916,12.543,0,4.671,3.736,300,264.016,0.078,299.435,0.008579491,0.921455408,0.041888891,0,0.015599379,0.012476831,0.008579491,0.921455408,0.041888891,0,0.015599379,0.012476831
fid33,p3,post,left,barbara,2,INT,13,5.61,280.363,9.948,0,0,3.736,300,300,0.086,299.657,0.018721405,0.935613051,0.033197956,0,0,0.012467588,0.018721405,0.935613051,0.033197956,0,0,0.012467588
fid1,p1,post,none,barbie,1,LL,16,24.262,0,24.587,63.031,169.564,17.743,12.625,102.021,300,299.187,0.081093096,0,0.082179373,0.210674261,0.566749224,0.059304047,0.081093096,0,0.082179373,0.210674261,0.566749224,0.059304047
fid1,p1,pre,none,barbie,1,LL,29,9.498,167.87,17.447,39.004,48.048,16.008,6.138,38.373,3.904,297.875,0.031885858,0.56355854,0.058571548,0.130940831,0.16130256,0.053740663,0.031885858,0.56355854,0.058571548,0.130940831,0.16130256,0.053740663
fid1,p2,post,right,barbie,1,LL,13,0,0,0,0,291.146,8.807,300,0.841,300,299.953,0,0,0,0,0.970638733,0.029361267,0,0,0,0,0.970638733,0.029361267
fid1,p2,pre,left,barbie,1,LL,37,22.237,206.714,20.025,0,21.777,29.334,300,155.75,0.023,300.087,0.074101844,0.688846901,0.066730648,0,0.072568955,0.097751652,0.074101844,0.688846901,0.066730648,0,0.072568955,0.097751652
fid1,p3,post,left,barbie,1,LL,42,7.473,8.804,20.291,9.885,207.022,44.88,215.721,0.475,201.409,298.355,0.025047343,0.029508471,0.068009586,0.033131672,0.693878098,0.150424829,0.025047343,0.029508471,0.068009586,0.033131672,0.693878098,0.150424829
